"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"82","Normal/Others","WS/MP18226/2025-2026/233359-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the Durga Devi temple in the village Gadarianpurwa of the Gram Panchayat Tetarpur","12-Sep-2025","156975","28-Nov-2025"
"83","Normal/Others","WS/MP18226/2025-2026/233360-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the Shiva temple in Rampurwa village of Gram Panchayat Narhar","12-Sep-2025","156975","28-Nov-2025"
"84","Normal/Others","WS/MP18226/2025-2026/233361-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Masjid Rasidiya in Hajipurwa of Gram Panchayat Odarhana.","12-Sep-2025","172306","28-Nov-2025"
"85","Normal/Others","WS/MP18226/2025-2026/233362-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Masjid Quba in Hajipurwa of Gram Panchayat Odarhana","12-Sep-2025","156975","28-Nov-2025"
"86","Normal/Others","WS/MP18226/2025-2026/233363-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Murari Giri in Gram Panchayat Laukhiya","12-Sep-2025","156975","28-Nov-2025"
"87","Normal/Others","WS/MP18226/2025-2026/234498-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Shri Gurunanak Dev Ji Gurudwara in Village Panchayat Safipur.","16-Sep-2025","156975","28-Nov-2025"
"88","Normal/Others","WS/MP18226/2025-2026/234499-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Ambedkar Park in village Balwapur of Gram Panchayat Pipra Marora","16-Sep-2025","156975","28-Nov-2025"
"89","Normal/Others","WS/MP18226/2025-2026/234500-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the old Jama Masjid in Gram Panchayat Aggar Khurd","16-Sep-2025","156975","28-Nov-2025"
"90","Normal/Others","WS/MP18226/2025-2026/234501-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Qadri Masjid in Gram Panchayat Aggar Khurd","16-Sep-2025","156975","28-Nov-2025"
"91","Normal/Others","WS/MP18226/2025-2026/234502-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the masjid in Gram Panchayat Ramnagar Khurd","16-Sep-2025","156975","28-Nov-2025"
"92","Normal/Others","WS/MP18226/2025-2026/234503-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Dinesh Bhargava in Gram Pipra gram Panchayat Baraula.","16-Sep-2025","156975","28-Nov-2025"
"93","Normal/Others","WS/MP18226/2025-2026/234504-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Raunak in Gram Panchayat Basaigapur Bazar","16-Sep-2025","156975","28-Nov-2025"
"94","Normal/Others","WS/MP18226/2025-2026/252457-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Musepur kala Me Masjid ke Samane 01 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"95","Normal/Others","WS/MP18226/2025-2026/252458-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Musepur kala ke Bhudpurwa Me Mata ji ke Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"96","Normal/Others","WS/MP18226/2025-2026/252459-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Gopalapur me Shivdevi Vidhya Mandir Intercolleg ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"97","Normal/Others","WS/MP18226/2025-2026/252461-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Gopalapur me Ganw ke Paschim Jidbaba Sthan ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"98","Normal/Others","WS/MP18226/2025-2026/252462-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Panchay Salempur Koun me Sadashiv Verma ki dukan ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"99","Normal/Others","WS/MP18226/2025-2026/252463-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Panchayt Sarkhanpur me Badi Masjid ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"100","Normal/Others","WS/MP18226/2025-2026/252464-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Panchayt Sarkhanpur me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"101","Normal/Others","WS/MP18226/2025-2026/252465-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Gopalpur ke Diya ratanpurwa me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"102","Normal/Others","WS/MP18226/2025-2026/252466-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Kadipur me Masjid ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"103","Normal/Others","WS/MP18226/2025-2026/252467-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Mahmmadpur Mahewa me Shiv Mandir ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"104","Normal/Others","WS/MP18226/2025-2026/252468-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Ekbalpur me Radha Kirshn Mandir (Thakur dwara) ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"105","Normal/Others","WS/MP18226/2025-2026/252469-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Pipr Karam Chand me Durgamata Mandir ke pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"106","Normal/Others","WS/MP18226/2025-2026/252470-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Mahngukhera me Ambedkar Park ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"107","Normal/Others","WS/MP18226/2025-2026/252471-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Chhauchh Ke Mohalla Dr. Kaushal Kishor me Shri Indresh Verma Ke Makan ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"108","Normal/Others","WS/MP18226/2025-2026/252472-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Keshavpur ke Pithwapur me Bhuiaa Mata Mandir ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"109","Normal/Others","WS/MP18226/2025-2026/252473-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Banwaripur me Shiv Mandir ke Nikat 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"110","Normal/Others","WS/MP18226/2025-2026/252474-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Rajapur ke Piparia me Mata ji ke Madir ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"111","Normal/Others","WS/MP18226/2025-2026/252475-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Saidapur Karanpur me Kasiram ke Makan ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"112","Normal/Others","WS/MP18226/2025-2026/252476-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Saidapur Karanpur ke Sadhauna me Hanuman Mandir ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"113","Normal/Others","WS/MP18226/2025-2026/252477-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Murtiha me Masjid ke Samne 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"114","Normal/Others","WS/MP18226/2025-2026/252478-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Barkherwa me Masjid ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"115","Normal/Others","WS/MP18226/2025-2026/252479-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Barkherwa ke Aithapur me Gurudwre ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"116","Normal/Others","WS/MP18226/2025-2026/252480-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Rampur Gokul me Manjha Gurudwara ke Pass 1 Semi high Mast Light 6th ka Adhishtapan kary","06-Dec-2025","156959","29-Jan-2026"
"117","Normal/Others","WS/MP18226/2025-2026/252498-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Khambhol me Faruk ke Makan ke  Pass Tirahe par 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"118","Normal/Others","WS/MP18226/2025-2026/252499-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Behta ke Bargadiya me Bajrangbali Mandir pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"119","Normal/Others","WS/MP18226/2025-2026/252500-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram bijhouli ke Chintapurwa me Shiv Mandir ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"120","Normal/Others","WS/MP18226/2025-2026/252501-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Southan me Masjid ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"121","Normal/Others","WS/MP18226/2025-2026/252502-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Southan me Devi Mandir ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"122","Normal/Others","WS/MP18226/2025-2026/252503-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Gunchi rajaganj me dhanigawan me sunder lal vishykrma ke makan ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"123","Normal/Others","WS/MP18226/2025-2026/252504-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Bhalliya Bujurg me Masjid ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"124","Normal/Others","WS/MP18226/2025-2026/252505-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram jignaha me Mahender Pal ke hata ke Pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"125","Normal/Others","WS/MP18226/2025-2026/252506-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram jaitapur me shiv Mandir ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"126","Normal/Others","WS/MP18226/2025-2026/252507-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Fardahan me Thakur ji Mahraj Mandir ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"127","Normal/Others","WS/MP18226/2025-2026/252508-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Aman lala me Shiv Mandir ke Pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"128","Normal/Others","WS/MP18226/2025-2026/252509-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Kala Dund me Veer baba ke Sthan ke pass 1semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"129","Normal/Others","WS/MP18226/2025-2026/252510-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Mohall Gotaiyabag ki Balmiki Basti me Hanuman Mandir ke Pass  1 semi High Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"130","Normal/Others","WS/MP18226/2025-2026/252513-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Raghunathpurwa e Ramjanki Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"131","Normal/Others","WS/MP18226/2025-2026/252514-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Barter Chaurahe Par Ex Pardhan Munna lal Verma ki dukan Jansewakener ke samne 1 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"132","Normal/Others","WS/MP18226/2025-2026/252515-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Madrahi me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"133","Normal/Others","WS/MP18226/2025-2026/252516-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Siayathu ke Baikuntha me Bich Ganwa chaurahe par 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"134","Normal/Others","WS/MP18226/2025-2026/252517-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Baikuntha me Brahma baba ke Sthan par 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"135","Normal/Others","WS/MP18226/2025-2026/252537-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Amkotwa ke Amkotwapurwa  Chaurahe par 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"136","Normal/Others","WS/MP18226/2025-2026/252538-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Hanumand Mandir Vidhayla ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"137","Normal/Others","WS/MP18226/2025-2026/252539-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Badag Gaon me Chakai me Shiv Mandir ke pass 1 semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"138","Normal/Others","WS/MP18226/2025-2026/252540-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Korraiya Dhara me Durga Mata Mandir ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"139","Normal/Others","WS/MP18226/2025-2026/252541-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Korraiyapurwa me Shankerji ke Mandir ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"140","Normal/Others","WS/MP18226/2025-2026/252542-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Nizampur Nakti me Hanuman Mandir ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"141","Normal/Others","WS/MP18226/2025-2026/252543-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Jiganiyan me Siyaram Kanwajia ajodhi prsad ke Makan ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"142","Normal/Others","WS/MP18226/2025-2026/252544-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Chakai me Shri Saroj verma ke Makan ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"143","Normal/Others","WS/MP18226/2025-2026/252546-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Atkohna me Majhra Ramlal me Jagdish Prasad Ex Pramukh ke Makan ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"144","Normal/Others","WS/MP18226/2025-2026/252547-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Matehi ke Vajirpurwa me Masjid ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"145","Normal/Others","WS/MP18226/2025-2026/252548-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Nakaha me jama Masjid ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"146","Normal/Others","WS/MP18226/2025-2026/252549-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Nakaha me Daxin Masjid ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"147","Normal/Others","WS/MP18226/2025-2026/252550-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Ashogapur ke Kewalpurwa me Masjid ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"148","Normal/Others","WS/MP18226/2025-2026/252554-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Sudulhapur me Ambedkar Murti ke 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"149","Normal/Others","WS/MP18226/2025-2026/252555-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Korraiya Dhara me Pani ki Tanki ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"150","Normal/Others","WS/MP18226/2025-2026/252556-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Korraiya sanjar me Rinku ki Dairy pe Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"151","Normal/Others","WS/MP18226/2025-2026/252557-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Korraiya Dhara me Ganw ke Bich Bachan singh ke Makan ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"152","Normal/Others","WS/MP18226/2025-2026/252558-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Belhaura ke Shivrampurwa me Harishanker ke Makan ke Pass Shivmandir par 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"153","Normal/Others","WS/MP18226/2025-2026/252559-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Nakaha me Shri Panchamukhi Ganesh Mandir ke ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"154","Normal/Others","WS/MP18226/2025-2026/252560-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Gulariya me Shiv mandir ke nikat Shantosh ke Makan ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"155","Normal/Others","WS/MP18226/2025-2026/252561-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Katkusma Masjid ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"156","Normal/Others","WS/MP18226/2025-2026/252562-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Amkotwa me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"157","Normal/Others","WS/MP18226/2025-2026/252563-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Pakriya me Budhwa me Shrikrshna Bhargaw ke Makan ke  Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"158","Normal/Others","WS/MP18226/2025-2026/252564-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Pakriya me Budhwa me Bahouri lal nishad ke Makan ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"159","Normal/Others","WS/MP18226/2025-2026/252565-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Banjriya ke Semraha Purwa me Shiv Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"160","Normal/Others","WS/MP18226/2025-2026/252566-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Daudpur me devi Mandir ke pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
"161","Normal/Others","WS/MP18226/2025-2026/252567-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Kotthiya me Satti Mata Mandir ke Pass 01 Semi high Mast Light 6th ka Adhishtapan kary.","06-Dec-2025","156959","29-Jan-2026"
